# run 1000ns
T=5000 | rst=1 elec=0 gen=0 |floor=0 CUR_FLOOR=0 TARGET=0 next_target=0 direction=1 r_above=0 r_below=0 req=0 current_state=                          idle | UP=0 DOWN=0 | DO=0 DC=1 | L=0 F=0 ALARM=0 | estop=0 weight=0
T=15000 | rst=1 elec=0 gen=0 |floor=0 CUR_FLOOR=0 TARGET=0 next_target=0 direction=1 r_above=0 r_below=0 req=0 current_state=                          idle | UP=0 DOWN=0 | DO=0 DC=1 | L=0 F=0 ALARM=0 | estop=0 weight=0

=== TC1: Idle with electricity ===
T=25000 | rst=0 elec=1 gen=0 |floor=0 CUR_FLOOR=0 TARGET=0 next_target=0 direction=1 r_above=0 r_below=0 req=0 current_state=                          idle | UP=0 DOWN=0 | DO=0 DC=1 | L=0 F=0 ALARM=0 | estop=0 weight=0
T=35000 | rst=0 elec=1 gen=0 |floor=0 CUR_FLOOR=0 TARGET=0 next_target=0 direction=1 r_above=0 r_below=0 req=0 current_state=                          idle | UP=0 DOWN=0 | DO=0 DC=1 | L=0 F=0 ALARM=0 | estop=0 weight=0
T=45000 | rst=0 elec=1 gen=0 |floor=0 CUR_FLOOR=0 TARGET=0 next_target=0 direction=1 r_above=0 r_below=0 req=0 current_state=                          idle | UP=0 DOWN=0 | DO=0 DC=1 | L=0 F=0 ALARM=0 | estop=0 weight=0
T=55000 | rst=0 elec=1 gen=0 |floor=0 CUR_FLOOR=0 TARGET=0 next_target=0 direction=1 r_above=0 r_below=0 req=0 current_state=                          idle | UP=0 DOWN=0 | DO=0 DC=1 | L=0 F=0 ALARM=0 | estop=0 weight=0
T=65000 | rst=0 elec=1 gen=0 |floor=0 CUR_FLOOR=0 TARGET=0 next_target=0 direction=1 r_above=0 r_below=0 req=0 current_state=                          idle | UP=0 DOWN=0 | DO=0 DC=1 | L=0 F=0 ALARM=0 | estop=0 weight=0

=== TC2: No electricity & no generator ===
T=75000 | rst=0 elec=0 gen=0 |floor=0 CUR_FLOOR=0 TARGET=0 next_target=0 direction=1 r_above=0 r_below=0 req=0 current_state=                          idle | UP=0 DOWN=0 | DO=0 DC=1 | L=0 F=0 ALARM=0 | estop=0 weight=0
T=85000 | rst=0 elec=0 gen=0 |floor=0 CUR_FLOOR=0 TARGET=0 next_target=0 direction=1 r_above=0 r_below=0 req=0 current_state=             electricity_check | UP=0 DOWN=0 | DO=0 DC=1 | L=0 F=0 ALARM=0 | estop=0 weight=0
T=95000 | rst=0 elec=0 gen=0 |floor=0 CUR_FLOOR=0 TARGET=0 next_target=0 direction=1 r_above=0 r_below=0 req=0 current_state=             electricity_check | UP=0 DOWN=0 | DO=0 DC=1 | L=0 F=0 ALARM=0 | estop=0 weight=0
T=105000 | rst=0 elec=0 gen=0 |floor=0 CUR_FLOOR=0 TARGET=0 next_target=0 direction=1 r_above=0 r_below=0 req=0 current_state=             electricity_check | UP=0 DOWN=0 | DO=0 DC=1 | L=0 F=0 ALARM=0 | estop=0 weight=0
T=115000 | rst=0 elec=0 gen=0 |floor=0 CUR_FLOOR=0 TARGET=0 next_target=0 direction=1 r_above=0 r_below=0 req=0 current_state=             electricity_check | UP=0 DOWN=0 | DO=0 DC=1 | L=0 F=0 ALARM=0 | estop=0 weight=0

=== TC3: Generator backup ===
T=125000 | rst=0 elec=0 gen=1 |floor=0 CUR_FLOOR=0 TARGET=0 next_target=0 direction=1 r_above=0 r_below=0 req=0 current_state=             electricity_check | UP=0 DOWN=0 | DO=0 DC=1 | L=0 F=0 ALARM=0 | estop=0 weight=0
T=135000 | rst=0 elec=0 gen=1 |floor=0 CUR_FLOOR=0 TARGET=0 next_target=0 direction=1 r_above=0 r_below=0 req=0 current_state=                          idle | UP=0 DOWN=0 | DO=0 DC=1 | L=0 F=0 ALARM=0 | estop=0 weight=0
T=145000 | rst=0 elec=0 gen=1 |floor=0 CUR_FLOOR=0 TARGET=0 next_target=0 direction=1 r_above=0 r_below=0 req=0 current_state=                          idle | UP=0 DOWN=0 | DO=0 DC=1 | L=0 F=0 ALARM=0 | estop=0 weight=0
T=155000 | rst=0 elec=0 gen=1 |floor=0 CUR_FLOOR=0 TARGET=0 next_target=0 direction=1 r_above=0 r_below=0 req=0 current_state=                          idle | UP=0 DOWN=0 | DO=0 DC=1 | L=0 F=0 ALARM=0 | estop=0 weight=0
T=165000 | rst=0 elec=0 gen=1 |floor=0 CUR_FLOOR=0 TARGET=0 next_target=0 direction=1 r_above=0 r_below=0 req=0 current_state=                          idle | UP=0 DOWN=0 | DO=0 DC=1 | L=0 F=0 ALARM=0 | estop=0 weight=0

=== TC4: Door open at same floor ===
T=175000 | rst=0 elec=1 gen=0 |floor=0 CUR_FLOOR=0 TARGET=0 next_target=0 direction=1 r_above=0 r_below=0 req=1 current_state=                          idle | UP=0 DOWN=0 | DO=0 DC=1 | L=0 F=0 ALARM=0 | estop=0 weight=0
